曲名,難易度
Real [A],10.2
Broadbanded [A],10.2
Why did you go away [A],10.5
CaptivAte～誓い～ [A],10.5
Dazzlin' Darlin [A],10.5
G59 [H],10.5
もっと！モット！ときめき feat. 松下 [A],10.5
BREAK OVER [A],10.5
FUTURE is Dead [A],10.5
うさ☆かめ 大戦争！ [A],10.5
ミッドナイト☆WAR [A],10.5
Get Higher [A],10.5
Hat Surprise (Season 3) [A],10.5
ACID VISION [A],10.5
GOLD RUSH 2025 [A],10.5
CHECKING YOU OUT [A],10.7
Sweet Sweet♡Magic [A],10.7
冥 [H],10.7
SigSig [A],10.7
ラクエン [A],10.7
LASER CRUSTER [H],10.7
op.31 叙情 [H],10.7
CaptivAte～裁き～ [A],10.7
the shadow [A],10.7
LOVELY STORM [A],10.7
Rising in the Sun(original mix) (HERO) [A],10.7
Time to Air [A],10.7
B4U(BEMANI FOR YOU MIX) [A],10.7
BLUE DRAGON(雷龍RemixIIDX) [A],10.7
Hypersonik [A],10.7
牧神笛吹きて [A],10.7
Erosion Mark [A],10.7
ベィスドロップ・フリークス [A],10.7
妖隠し -あやかしかくし- [A],10.7
紅牡丹 [A],10.7
灼熱 Pt.2 Long Train Running [H],10.7
Acid Pumper [A],10.7
¡Viva! [A],10.7
Cyber True Color [A],10.7
PAPAYAPA BASS [A],10.7
shuriken [A],10.7
The Commanders [A],10.7
Amor De Verão [A],10.7
Chemical Cookie [A],10.7
Exhaust Hype [A],10.7
From Time To Time [A],10.7
Temple of Anubis [A],10.7
Shiva [A],10.7
Sinus Iridum [H],10.7
Ah Hah Yeah [A],10.7
Explorer feat. ぷにぷに電機 [L],10.7
Hat Surprise [A],10.7
Ventriloquist [A],10.7
Beyond Evolution [H],10.7
Programmed Genom [A],10.7
少年リップルズ [A],10.7
out of disk space [A],10.7
ラビットホール [A],10.7
寝起きヤシの木 [A],10.7
Butterfly Twist [A],10.7
IN BETWEEN [A],10.7
sync [A],11.0
LAB [A],11.0
Distress [H],11.0
Karma [H],11.0
moon_child [H],11.0
GRADIUS -FULL SPEED- [A],11.0
SHOOTING STAR [A],11.0
Ganymede [H],11.0
Harmony and Lovely [A],11.0
with you… [A],11.0
VANESSA [H],11.0
evergreen [A],11.0
REMINISCENCE [A],11.0
ALL MY TURN -このターンに、オレの全てを賭ける- [A],11.0
Jack [A],11.0
翼 [L],11.0
SOLID STATE SQUAD [H],11.0
Believe In Me [A],11.0
YAKSHA [H],11.0
Phoenix [A],11.0
Timepiece phase II (CN Ver.) [H],11.0
405nm (Ryu☆mix) [A],11.0
ÆTHER [A],11.0
Overload Frontier [A],11.0
AFRO KNUCKLE [A],11.0
HELL SCAPER -Last Escape Remix- [A],11.0
illuminate [A],11.0
Line 4 Ruin [A],11.0
打打打打打打打打打打 [A],11.0
真 地獄超特急 -HELL or HELL- [H],11.0
Go Faraway [A],11.0
Nowhere [A],11.0
Set U Free feat. Kanae Asaba [A],11.0
Welcome [A],11.0
(This Is Not) The Angels [A],11.0
Be A Star [A],11.0
Egret and Willow [A],11.0
